"bin_id","timestamp","fill_level","gas_ppm","health_risk","humidity","priority","priority_label","temperature"
"������","1767994548","100","136","","75","3","CRITICAL","30"
"������","1767994608","100","136","","75","3","CRITICAL","30"
"������","1767994668","100","135","","75","3","CRITICAL","30"
"������","1768014526","100","134","","75","3","CRITICAL","30"
"BIN_001","1704362400","75","650","61.5","75","3","CRITICAL","30.5"
"BIN_002","1738210800","65","250","34.5","75","1","MEDIUM","32"
"BIN_002","1768092088","81.45","109","","75","2","HIGH","30"
"BIN_002","1768092149","82.32","109","","75","2","HIGH","30"
"BIN_002","1768092209","82.32","109","","75","2","HIGH","30"
"BIN_002","1768092269","82.35","109","","75","2","HIGH","30"
"BIN_002","1768092389","82.32","110","","75","2","HIGH","30"
"BIN_002","1768092449","82.32","109","","75","2","HIGH","30"
"BIN_002","1768092509","79.16","110","","75","2","HIGH","30"
"BIN_002","1768092569","41.16","110","","75","0","LOW","30"
"BIN_002","1768092628","47.48","110","","75","0","LOW","30"
"BIN_002","1768092689","47.5","111","","75","0","LOW","30"
"BIN_002","1768092749","47.48","111","","75","0","LOW","30"
"BIN_002","1768092808","47.48","111","","75","0","LOW","30"
"BIN_002","1768092868","98.47","110","","75","3","CRITICAL","30"
"BIN_002","1768092929","98.42","110","","75","3","CRITICAL","30"
"BIN_002","1768092989","98.42","111","","75","3","CRITICAL","30"
"BIN_002","1768093049","100","111","","75","3","CRITICAL","30"
"BIN_002","1768093109","98.42","111","","75","3","CRITICAL","30"
"BIN_002","1768093169","98.42","110","","75","3","CRITICAL","30"
"BIN_002","1768093229","71.78","111","","75","2","HIGH","30"
"BIN_002","1768093288","71.78","110","","75","2","HIGH","30"
"BIN_002","1768093348","71.78","110","","75","2","HIGH","30"
"BIN_002","1768093409","71.74","110","","75","2","HIGH","30"
"BIN_002","1768093469","71.74","109","","75","2","HIGH","30"
"BIN_002","1768093528","71.78","111","","75","2","HIGH","30"
"BIN_002","1768093589","71.74","110","","75","2","HIGH","30"
"BIN_002","1768093649","71.74","110","","75","2","HIGH","30"
"BIN_002","1768093709","71.78","110","","75","2","HIGH","30"
"BIN_002","1768093769","71.78","110","","75","2","HIGH","30"
"BIN_002","1768093829","71.74","109","","75","2","HIGH","30"
"BIN_002","1768093889","71.78","109","","75","2","HIGH","30"
"BIN_002","1768093949","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094009","71.78","109","","75","2","HIGH","30"
"BIN_002","1768094069","71.78","109","","75","2","HIGH","30"
"BIN_002","1768094129","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094189","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094249","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094309","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094369","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094399","0","52","","75","0","LOW","30"
"BIN_002","1768094429","70.44","109","","75","2","HIGH","30"
"BIN_002","1768094460","0","57","","75","0","LOW","30"
"BIN_002","1768094489","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094519","0","63","","75","0","LOW","30"
"BIN_002","1768094549","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094579","0","63","","75","0","LOW","30"
"BIN_002","1768094609","71.74","108","","75","2","HIGH","30"
"BIN_002","1768094639","0","63","","75","0","LOW","30"
"BIN_002","1768094669","71.74","109","","75","2","HIGH","30"
"BIN_002","1768094699","0","64","","75","0","LOW","30"
"BIN_002","1768094729","71.78","108","","75","2","HIGH","30"
"BIN_002","1768094759","0","65","","75","0","LOW","30"
"BIN_002","1768094789","70.44","109","","75","2","HIGH","30"
"BIN_002","1768094819","0","66","","75","0","LOW","30"
"BIN_002","1768094849","71.74","108","","75","2","HIGH","30"
"BIN_002","1768094879","0","68","","75","0","LOW","30"
"BIN_002","1768094909","71.78","106","","75","2","HIGH","30"
"BIN_002","1768094939","0","65","","75","0","LOW","30"
"BIN_002","1768094969","71.78","110","","75","2","HIGH","30"
"BIN_002","1768095000","0","66","","75","0","LOW","30"
"BIN_002","1768095029","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095059","0","65","","75","0","LOW","30"
"BIN_002","1768095089","70.44","109","","75","2","HIGH","30"
"BIN_002","1768095119","100","65","","75","3","CRITICAL","30"
"BIN_002","1768095149","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095179","100","67","","75","3","CRITICAL","30"
"BIN_002","1768095209","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095239","100","65","","75","3","CRITICAL","30"
"BIN_002","1768095269","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095299","100","65","","75","3","CRITICAL","30"
"BIN_002","1768095329","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095360","100","74","","75","3","CRITICAL","30"
"BIN_002","1768095390","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095419","100","70","","75","3","CRITICAL","30"
"BIN_002","1768095450","70.44","109","","75","2","HIGH","30"
"BIN_002","1768095481","100","73","","75","3","CRITICAL","30"
"BIN_002","1768095509","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095539","100","75","","75","3","CRITICAL","30"
"BIN_002","1768095570","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095630","71.78","109","","75","2","HIGH","30"
"BIN_002","1768095689","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095749","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095809","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095869","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095929","71.74","109","","75","2","HIGH","30"
"BIN_002","1768095989","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096049","71.7","109","","75","2","HIGH","30"
"BIN_002","1768096110","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096170","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096229","71.78","109","","75","2","HIGH","30"
"BIN_002","1768096289","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096350","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096410","71.78","109","","75","2","HIGH","30"
"BIN_002","1768096470","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096530","70.44","109","","75","2","HIGH","30"
"BIN_002","1768096589","70.44","109","","75","2","HIGH","30"
"BIN_002","1768096649","71.78","109","","75","2","HIGH","30"
"BIN_002","1768096709","70.4","109","","75","2","HIGH","30"
"BIN_002","1768096770","70.4","109","","75","2","HIGH","30"
"BIN_002","1768096830","70.4","109","","75","2","HIGH","30"
"BIN_002","1768096890","71.74","109","","75","2","HIGH","30"
"BIN_002","1768096949","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097009","70.57","109","","75","2","HIGH","30"
"BIN_002","1768097070","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097130","71.78","109","","75","2","HIGH","30"
"BIN_002","1768097190","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097249","70.4","109","","75","2","HIGH","30"
"BIN_002","1768097310","70.4","109","","75","2","HIGH","30"
"BIN_002","1768097370","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097430","71.74","110","","75","2","HIGH","30"
"BIN_002","1768097490","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097550","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097610","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097670","71.74","109","","75","2","HIGH","30"
"BIN_002","1768097730","71.78","109","","75","2","HIGH","30"
"BIN_002","1768097790","71.74","109","","75","2","HIGH","30"
